School Name,Longitude,Latitude,Sequence
David T. Denny International School,-122.316532,47.51473,191
David T. Denny International School,-122.3166,47.514733,192
David T. Denny International School,-122.316602,47.514733,193
David T. Denny International School,-122.316667,47.514739,194
David T. Denny International School,-122.316734,47.51475,195
David T. Denny International School,-122.316795,47.514763,196
David T. Denny International School,-122.316798,47.514764,197
David T. Denny International School,-122.316827,47.514775,198
David T. Denny International School,-122.316857,47.514786,199
David T. Denny International School,-122.316953,47.514813,200
David T. Denny International School,-122.316965,47.514817,201
David T. Denny International School,-122.317105,47.514857,202
David T. Denny International School,-122.317267,47.514894,203
David T. Denny International School,-122.317331,47.514908,204
David T. Denny International School,-122.317361,47.514915,205
David T. Denny International School,-122.317377,47.514918,206
David T. Denny International School,-122.318154,47.515062,207
David T. Denny International School,-122.31816,47.515063,208
David T. Denny International School,-122.318164,47.515063,209
David T. Denny International School,-122.318168,47.515064,210
David T. Denny International School,-122.318172,47.515064,211
David T. Denny International School,-122.318176,47.515064,212
David T. Denny International School,-122.31818,47.515064,213
David T. Denny International School,-122.318184,47.515064,214
David T. Denny International School,-122.318188,47.515064,215
David T. Denny International School,-122.318192,47.515064,216
David T. Denny International School,-122.318196,47.515064,217
David T. Denny International School,-122.3182,47.515064,218
David T. Denny International School,-122.318204,47.515063,219
David T. Denny International School,-122.318208,47.515063,220
David T. Denny International School,-122.318212,47.515062,221
David T. Denny International School,-122.318216,47.515061,222
David T. Denny International School,-122.318219,47.515061,223
David T. Denny International School,-122.318223,47.51506,224
David T. Denny International School,-122.318228,47.515059,225
David T. Denny International School,-122.318231,47.515058,226
David T. Denny International School,-122.318235,47.515057,227
David T. Denny International School,-122.318235,47.515057,228
David T. Denny International School,-122.318239,47.515056,229
David T. Denny International School,-122.318241,47.515116,230
David T. Denny International School,-122.318244,47.515171,231
David T. Denny International School,-122.323302,47.515193,232
David T. Denny International School,-122.323318,47.515193,233
David T. Denny International School,-122.323306,47.514691,234
David T. Denny International School,-122.323286,47.513894,235
David T. Denny International School,-122.323305,47.513894,236
David T. Denny International School,-122.327237,47.51393,237
David T. Denny International School,-122.327289,47.513931,238
David T. Denny International School,-122.327397,47.513932,239
David T. Denny International School,-122.328154,47.513943,240
David T. Denny International School,-122.328536,47.513949,241
David T. Denny International School,-122.330256,47.513973,242
David T. Denny International School,-122.330257,47.513973,243
David T. Denny International School,-122.33029,47.514037,244
David T. Denny International School,-122.330437,47.514316,245
David T. Denny International School,-122.330584,47.514541,246
David T. Denny International School,-122.33082,47.514798,247
David T. Denny International School,-122.330961,47.514938,248
David T. Denny International School,-122.330981,47.514959,249
David T. Denny International School,-122.331175,47.515152,250
David T. Denny International School,-122.331229,47.515199,251
David T. Denny International School,-122.331237,47.515206,252
David T. Denny International School,-122.331374,47.515326,253
David T. Denny International School,-122.331425,47.515389,254
David T. Denny International School,-122.331483,47.515461,255
David T. Denny International School,-122.331493,47.51547,256
David T. Denny International School,-122.331551,47.515532,257
David T. Denny International School,-122.331624,47.515608,258
David T. Denny International School,-122.331689,47.515695,259
David T. Denny International School,-122.331793,47.515835,260
David T. Denny International School,-122.331794,47.515836,261
David T. Denny International School,-122.331998,47.516189,262
David T. Denny International School,-122.332013,47.516215,263
